Time,acc_x,acc_y,acc_z,Pitch,Roll,Yaw
11.350000,0.003673,0.000470,0.000005,0.000663,0.004605,0.045022,
11.400000,0.004086,0.000472,0.000006,0.000365,0.004448,0.045575,
11.450000,0.004378,0.000487,0.000011,0.000818,0.002758,0.044509,
11.500000,0.004503,0.000341,0.000012,0.000834,0.002681,0.041262,
11.550000,0.004506,0.000338,0.000011,0.000825,0.002746,0.039435,
11.600000,0.004551,0.000226,0.000011,0.000809,0.001167,0.034713,
11.650000,0.004221,0.000228,0.000011,0.000813,0.001168,0.034760,
11.700000,0.002750,0.000219,0.000011,0.000792,0.001102,0.005335,
11.750000,0.002896,0.000080,0.000011,0.000787,0.001102,0.002972,
11.800000,0.002232,0.000086,0.000011,0.000750,0.001101,0.003045,
11.850000,0.001320,0.000043,0.000010,0.000702,0.000964,0.002053,
11.900000,0.000017,0.000044,0.000008,0.000695,0.000922,0.000940,
11.950000,0.000018,0.000030,0.000010,0.000125,0.000895,0.000036,
12.000000,0.000007,0.000003,0.000010,0.000034,0.000055,0.000020,
12.050000,0.000005,0.000002,0.000010,0.000019,0.000057,0.000020,
12.100000,0.000005,0.000001,0.000009,0.000022,0.000036,0.000013,
12.150000,0.000005,0.000002,0.000008,0.000020,0.000034,0.000010,
12.200000,0.000005,0.000002,0.000008,0.000032,0.000039,0.000011,
12.250000,0.000006,0.000002,0.000009,0.000036,0.000030,0.000011,
12.300000,0.000006,0.000002,0.000008,0.000038,0.000038,0.000009,
12.350000,0.000005,0.000003,0.000009,0.000032,0.000043,0.000009,
12.400000,0.000004,0.000003,0.000011,0.000029,0.000042,0.000007,
12.450000,0.000002,0.000003,0.000004,0.000029,0.000047,0.000007,
12.500000,0.000003,0.000003,0.000003,0.000032,0.000032,0.000005,
12.550000,0.000003,0.000003,0.000003,0.000030,0.000026,0.000007,
12.600000,0.000004,0.000003,0.000003,0.000029,0.000026,0.000006,
12.650000,0.000004,0.000003,0.000003,0.000030,0.000027,0.000005,
12.700000,0.000003,0.000005,0.000003,0.000017,0.000028,0.000008,
12.750000,0.000004,0.000005,0.000003,0.000014,0.000034,0.000008,
12.800000,0.000003,0.000005,0.000007,0.000011,0.000030,0.000012,
12.850000,0.000003,0.000004,0.000007,0.000012,0.000022,0.000014,
12.900000,0.000003,0.000004,0.000004,0.000012,0.000022,0.000012,
12.950000,0.000003,0.000004,0.000004,0.000011,0.000017,0.000014,
13.000000,0.000002,0.000004,0.000004,0.000007,0.000016,0.000018,
13.050000,0.000002,0.000005,0.000004,0.000010,0.000016,0.000018,
13.100000,0.000002,0.000006,0.000004,0.000010,0.000018,0.000019,
13.150000,0.000002,0.000006,0.000004,0.000012,0.000021,0.000023,
13.200000,0.000002,0.000003,0.000005,0.000012,0.000021,0.000020,
13.250000,0.000003,0.000004,0.000004,0.000013,0.000014,0.000023,
13.300000,0.000003,0.000004,0.000002,0.000022,0.000013,0.000022,
13.350000,0.000003,0.000004,0.000003,0.000023,0.000014,0.000016,
13.400000,0.000003,0.000004,0.000003,0.000022,0.000017,0.000017,
13.450000,0.000003,0.000003,0.000003,0.000020,0.000018,0.000009,
13.500000,0.000004,0.000003,0.000004,0.000027,0.000036,0.000010,
13.550000,0.000004,0.000002,0.000003,0.000025,0.000043,0.000012,
13.600000,0.000003,0.000002,0.000003,0.000024,0.000044,0.000014,
13.650000,0.000003,0.000002,0.000004,0.000018,0.000041,0.000019,
13.700000,0.000003,0.000002,0.000003,0.000021,0.000047,0.000028,
13.750000,0.000001,0.000001,0.000003,0.000017,0.000047,0.000027,
13.800000,0.000002,0.000001,0.000007,0.000015,0.000053,0.000022,
13.850000,0.000002,0.000001,0.000008,0.000020,0.000052,0.000024,
13.900000,0.000002,0.000001,0.000007,0.000024,0.000049,0.000024,
13.950000,0.000002,0.000002,0.000007,0.000027,0.000047,0.000023,
14.000000,0.000002,0.000002,0.000007,0.000023,0.000025,0.000021,
14.050000,0.000003,0.000002,0.000007,0.000027,0.000046,0.000015,
14.100000,0.000003,0.000002,0.000008,0.000027,0.000045,0.000017,
14.150000,0.000004,0.000003,0.000005,0.000052,0.000085,0.000015,
14.200000,0.000012,0.000011,0.000007,0.000088,0.000132,0.000015,
14.250000,0.000263,0.000011,0.000007,0.000243,0.000278,0.000047,
14.300000,0.000292,0.000015,0.000008,0.000238,0.000262,0.000125,
14.350000,0.001352,0.000015,0.000007,0.000269,0.000326,0.003186,
14.400000,0.001821,0.000047,0.000046,0.000324,0.000328,0.004525,
14.450000,0.002811,0.000047,0.000049,0.000388,0.000361,0.004482,
14.500000,0.002643,0.000057,0.000049,0.000387,0.000649,0.004427,
14.550000,0.002379,0.000194,0.000051,0.000464,0.000677,0.004665,
14.600000,0.002242,0.000466,0.000052,0.000611,0.000697,0.009829,
14.650000,0.002045,0.000688,0.000051,0.000771,0.001423,0.010862,
14.700000,0.001983,0.000690,0.000049,0.000665,0.002348,0.012068,
14.750000,0.002347,0.000715,0.000048,0.000408,0.002741,0.014008,
14.800000,0.002410,0.000722,0.000049,0.000471,0.002808,0.014211,
14.850000,0.002506,0.000721,0.000048,0.000597,0.004924,0.010549,
14.900000,0.002217,0.000662,0.000012,0.000645,0.005385,0.007220,
14.950000,0.001075,0.000665,0.000005,0.000629,0.006684,0.005485,
15.000000,0.000876,0.000624,0.000006,0.000750,0.008954,0.006287,
15.050000,0.000835,0.000505,0.000004,0.000737,0.011055,0.006308,
15.100000,0.000841,0.000391,0.000004,0.000681,0.010984,0.004809,
15.150000,0.000877,0.000204,0.000006,0.000541,0.010516,0.004773,
15.200000,0.000971,0.000347,0.000006,0.000561,0.009614,0.004797,
15.250000,0.001017,0.000330,0.000005,0.000553,0.009864,0.003924,
15.300000,0.001160,0.000329,0.000004,0.000481,0.009914,0.004265,
